Year,Agriculture & Allied,,Agriculture,,Industry,,Mining & Quarrying,,Manufacturing,,Services,
,current,04-05,current,04-05,current,04-05,current,04-05,current,04-05,current,04-05
1950-51,51.81,51.88,45.48,41.83,14.16,16.19,0.75,1.84,10.51,8.98,33.25,29.54
1951-52,50.67,51.45,44.56,41.54,15.00,16.69,0.79,2.02,11.04,9.05,33.59,29.63
1952-53,50.05,51.61,44.43,42.08,14.38,16.22,0.83,2.01,10.54,9.10,35.22,29.71
1953-54,50.64,52.39,45.24,43.23,14.47,16.15,0.77,1.92,10.91,9.25,34.34,28.81
1954-55,45.86,51.73,40.41,42.63,16.20,16.77,0.85,1.92,12.05,9.49,38.18,28.94
1955-56,43.77,50.01,38.43,40.95,17.06,18.07,0.86,1.90,12.19,9.98,39.78,29.62
1956-57,46.58,49.89,41.19,41.06,16.84,18.56,0.87,1.89,12.16,10.15,36.44,29.31
1957-58,44.61,48.23,39.35,39.45,17.20,18.61,0.99,2.04,12.66,10.67,38.34,30.78
1958-59,46.27,49.34,41.05,40.80,16.69,18.49,0.95,1.95,12.09,10.41,36.87,29.79
1959-60,44.26,47.80,39.09,39.34,17.76,19.33,0.96,2.01,12.89,10.88,38.04,30.60
1960-61,42.56,47.65,37.45,39.41,19.30,20.09,1.04,2.16,13.71,11.00,38.25,30.19
1961-62,41.77,46.25,36.55,38.10,19.93,20.80,1.04,2.21,14.33,11.58,38.36,30.85
1962-63,39.89,44.39,34.90,36.51,20.61,21.76,1.17,2.43,14.88,12.17,39.91,31.92
1963-64,41.08,43.24,36.10,35.41,20.54,22.74,1.11,2.38,14.85,12.68,38.47,32.19
1964-65,42.96,43.90,38.00,36.31,19.64,22.57,1.00,2.24,13.97,12.60,37.15,31.64
1965-66,40.91,40.53,35.96,32.61,20.43,24.38,1.10,2.60,14.23,13.20,38.73,33.76
1966-67,41.81,39.56,36.79,31.54,20.06,25.01,1.05,2.63,13.67,13.17,37.95,34.45
1967-68,44.53,42.02,39.43,34.15,18.78,23.89,1.04,2.51,12.43,12.22,36.16,33.07
1968-69,43.52,40.88,38.24,33.17,19.35,24.41,1.06,2.52,12.75,12.57,36.71,33.71
1969-70,43.29,40.85,38.16,33.39,20.11,24.62,1.07,2.48,13.36,13.07,36.07,33.28
